[2023-01-27T03:07:07+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2023-01-27T03:07:07+0000] [PACMAN] synchronizing package lists
[2023-01-27T03:07:10+0000] [PACMAN] starting core system upgrade
[2023-01-27T03:07:10+0000] [PACMAN] starting full system upgrade
[2023-01-27T03:07:11+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 filesystem msys2-runtime'
[2023-01-27T03:07:14+0000] [ALPM] transaction started
[2023-01-27T03:07:14+0000] [ALPM] installed filesystem (2023.01-2)
[2023-01-27T03:07:15+0000] [ALPM] installed msys2-runtime (3.4.5-1)
[2023-01-27T03:07:15+0000] [ALPM] transaction completed
[2023-01-27T03:07:16+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64 base'
[2023-01-27T03:08:00+0000] [ALPM] transaction started
[2023-01-27T03:08:01+0000] [ALPM] installed bash (5.2.009-1)
[2023-01-27T03:08:02+0000] [ALPM] installed bash-completion (2.11-2)
[2023-01-27T03:08:02+0000] [ALPM] installed gcc-libs (11.3.0-3)
[2023-01-27T03:08:02+0000] [ALPM] installed libbz2 (1.0.8-4)
[2023-01-27T03:08:02+0000] [ALPM] installed libintl (0.21-2)
[2023-01-27T03:08:03+0000] [ALPM] installed libiconv (1.17-1)
[2023-01-27T03:08:03+0000] [ALPM] installed libexpat (2.5.0-1)
[2023-01-27T03:08:03+0000] [ALPM] installed libgettextpo (0.21-2)
[2023-01-27T03:08:03+0000] [ALPM] installed libasprintf (0.21-2)
[2023-01-27T03:08:03+0000] [ALPM] installed gettext (0.21-2)
[2023-01-27T03:08:03+0000] [ALPM] installed liblzma (5.4.1-1)
[2023-01-27T03:08:03+0000] [ALPM] installed liblz4 (1.9.4-1)
[2023-01-27T03:08:03+0000] [ALPM] installed zlib (1.2.13-1)
[2023-01-27T03:08:03+0000] [ALPM] installed libopenssl (3.0.7-2)
[2023-01-27T03:08:03+0000] [ALPM] installed libzstd (1.5.2-2)
[2023-01-27T03:08:03+0000] [ALPM] installed bsdtar (3.6.2-3)
[2023-01-27T03:08:03+0000] [ALPM] installed bzip2 (1.0.8-4)
[2023-01-27T03:08:03+0000] [ALPM] installed gmp (6.2.1-2)
[2023-01-27T03:08:04+0000] [ALPM] installed coreutils (8.32-5)
[2023-01-27T03:08:04+0000] [ALPM] installed openssl (3.0.7-2)
[2023-01-27T03:08:05+0000] [ALPM] installed findutils (4.9.0-3)
[2023-01-27T03:08:05+0000] [ALPM] installed sed (4.9-1)
[2023-01-27T03:08:05+0000] [ALPM] installed libffi (3.4.4-1)
[2023-01-27T03:08:21+0000] [ALPM] installed ncurses (6.3-3)
[2023-01-27T03:08:21+0000] [ALPM] installed libpcre2_8 (10.42-1)
[2023-01-27T03:08:21+0000] [ALPM] installed less (621-1)
[2023-01-27T03:08:21+0000] [ALPM] installed gzip (1.12-2)
[2023-01-27T03:08:21+0000] [ALPM] installed libcrypt (2.1-4)
[2023-01-27T03:08:21+0000] [ALPM] installed info (7.0.2-1)
[2023-01-27T03:08:21+0000] [ALPM] installed libtasn1 (4.19.0-1)
[2023-01-27T03:08:21+0000] [ALPM] installed libp11-kit (0.24.1-4)
[2023-01-27T03:08:22+0000] [ALPM] installed p11-kit (0.24.1-4)
[2023-01-27T03:08:22+0000] [ALPM] installed ca-certificates (20211016-2)
[2023-01-27T03:08:23+0000] [ALPM] installed brotli (1.0.9-5)
[2023-01-27T03:08:23+0000] [ALPM] installed libdb (5.3.28-4)
[2023-01-27T03:08:23+0000] [ALPM] installed libedit (20210910_3.1-2)
[2023-01-27T03:08:23+0000] [ALPM] installed libreadline (8.2.001-3)
[2023-01-27T03:08:27+0000] [ALPM] installed tcl (8.6.12-1)
[2023-01-27T03:08:27+0000] [ALPM] installed libsqlite (3.40.1-1)
[2023-01-27T03:08:27+0000] [ALPM] installed heimdal-libs (7.8.0-3)
[2023-01-27T03:08:27+0000] [ALPM] installed libunistring (1.1-2)
[2023-01-27T03:08:27+0000] [ALPM] installed libidn2 (2.3.4-2)
[2023-01-27T03:08:27+0000] [ALPM] installed libnghttp2 (1.51.0-1)
[2023-01-27T03:08:27+0000] [ALPM] installed libxml2 (2.10.3-2)
[2023-01-27T03:08:27+0000] [ALPM] installed libgpg-error (1.46-2)
[2023-01-27T03:08:27+0000] [ALPM] installed libgcrypt (1.10.1-5)
[2023-01-27T03:08:27+0000] [ALPM] installed libxslt (1.1.37-1)
[2023-01-27T03:08:27+0000] [ALPM] installed libpsl (0.21.2-1)
[2023-01-27T03:08:28+0000] [ALPM] installed libssh2 (1.10.0-3)
[2023-01-27T03:08:28+0000] [ALPM] installed libcurl (7.87.0-2)
[2023-01-27T03:08:29+0000] [ALPM] installed curl (7.87.0-2)
[2023-01-27T03:08:29+0000] [ALPM] installed libpcre (8.45-3)
[2023-01-27T03:08:29+0000] [ALPM] installed grep (1~3.0-6)
[2023-01-27T03:08:29+0000] [ALPM] installed dash (0.5.12-1)
[2023-01-27T03:08:29+0000] [ALPM] installed file (5.44-2)
[2023-01-27T03:08:29+0000] [ALPM] installed mpfr (4.2.0-2)
[2023-01-27T03:08:30+0000] [ALPM] installed gawk (5.2.1-2)
[2023-01-27T03:08:30+0000] [ALPM] installed libargp (20110921-4)
[2023-01-27T03:08:30+0000] [ALPM] installed getent (2.18.90-4)
[2023-01-27T03:08:30+0000] [ALPM] installed inetutils (1.9.4-5)
[2023-01-27T03:08:30+0000] [ALPM] installed mintty (1~3.6.3-1)
[2023-01-27T03:08:30+0000] [ALPM] installed msys2-keyring (1~20221024-1)
[2023-01-27T03:08:30+0000] [ALPM] installed msys2-launcher (1.5-1)
[2023-01-27T03:08:31+0000] [ALPM] installed nano (7.2-1)
[2023-01-27T03:08:31+0000] [ALPM] installed libassuan (2.5.5-2)
[2023-01-27T03:08:31+0000] [ALPM] installed libhogweed (3.8.1-1)
[2023-01-27T03:08:31+0000] [ALPM] installed libnettle (3.8.1-1)
[2023-01-27T03:08:31+0000] [ALPM] installed libgnutls (3.7.8-2)
[2023-01-27T03:08:31+0000] [ALPM] installed libksba (1.6.3-1)
[2023-01-27T03:08:31+0000] [ALPM] installed libnpth (1.6-1)
[2023-01-27T03:08:31+0000] [ALPM] installed nettle (3.8.1-1)
[2023-01-27T03:08:31+0000] [ALPM] installed pinentry (1.2.1-1)
[2023-01-27T03:08:31+0000] [ALPM] installed gnupg (2.2.40-1)
[2023-01-27T03:08:31+0000] [ALPM] installed pacman-mirrors (20221016-1)
[2023-01-27T03:08:31+0000] [ALPM] installed which (2.21-4)
[2023-01-27T03:08:32+0000] [ALPM] installed xz (5.4.1-1)
[2023-01-27T03:08:32+0000] [ALPM] installed zstd (1.5.2-2)
[2023-01-27T03:08:33+0000] [ALPM] installed pacman (6.0.1-30)
[2023-01-27T03:08:33+0000] [ALPM] installed db (5.3.28-4)
[2023-01-27T03:08:33+0000] [ALPM] installed libgdbm (1.23-1)
[2023-01-27T03:08:33+0000] [ALPM] installed gdbm (1.23-1)
[2023-01-27T03:08:38+0000] [ALPM] installed perl (5.36.0-1)
[2023-01-27T03:08:38+0000] [ALPM] installed pacman-contrib (1.8.0-1)
[2023-01-27T03:08:38+0000] [ALPM] installed rebase (4.5.0-2)
[2023-01-27T03:08:38+0000] [ALPM] installed tar (1.34-3)
[2023-01-27T03:08:38+0000] [ALPM] installed time (1.9-3)
[2023-01-27T03:08:44+0000] [ALPM] installed tzcode (2022g-1)
[2023-01-27T03:08:44+0000] [ALPM] installed libutil-linux (2.35.2-3)
[2023-01-27T03:08:44+0000] [ALPM] installed util-linux (2.35.2-3)
[2023-01-27T03:08:44+0000] [ALPM] installed libgpgme (1.18.0-1)
[2023-01-27T03:08:45+0000] [ALPM] installed wget (1.21.3-2)
[2023-01-27T03:08:45+0000] [ALPM] installed base (2022.06-1)
[2023-01-27T03:08:45+0000] [ALPM] transaction completed
[2023-01-27T03:08:45+0000] [ALPM] running 'texinfo-install.hook'...
[2023-03-17T22:21:32+0530] [PACMAN] Running 'pacman -S mingw-w64-ucrt-x86_64-gcc mingw-w64-ucrt-x86_64-gdb mingw-w64-ucrt-x86_64-python-pygments'
[2023-03-17T22:32:22+0530] [ALPM] transaction started
[2023-03-17T22:32:23+0530] [ALPM] installed mingw-w64-ucrt-x86_64-libiconv (1.17-1)
[2023-03-17T22:32:23+0530] [ALPM] installed mingw-w64-ucrt-x86_64-zlib (1.2.13-2)
[2023-03-17T22:32:24+0530] [ALPM] installed mingw-w64-ucrt-x86_64-binutils (2.39-2)
[2023-03-17T22:32:31+0530] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (10.0.0.r202.g4359b3570-1)
[2023-03-17T22:32:35+0530] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (10.0.0.r202.g4359b3570-1)
[2023-03-17T22:32:35+0530] [ALPM] installed mingw-w64-ucrt-x86_64-gmp (6.2.1-4)
[2023-03-17T22:32:35+0530] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.25-1)
[2023-03-17T22:32:35+0530] [ALPM] installed mingw-w64-ucrt-x86_64-libwinpthread-git (10.0.0.r202.g4359b3570-1)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-libs (12.2.0-10)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-mpfr (4.2.0-1)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-mpc (1.3.1-1)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-windows-default-manifest (6.4-4)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-winpthreads-git (10.0.0.r202.g4359b3570-1)
[2023-03-17T22:32:36+0530] [ALPM] installed mingw-w64-ucrt-x86_64-zstd (1.5.2-2)
[2023-03-17T22:32:42+0530] [ALPM] installed mingw-w64-ucrt-x86_64-gcc (12.2.0-10)
[2023-03-17T22:32:42+0530] [ALPM] installed mingw-w64-ucrt-x86_64-expat (2.5.0-1)
[2023-03-17T22:32:52+0530] [ALPM] installed mingw-w64-ucrt-x86_64-gettext (0.21.1-1)
[2023-03-17T22:32:53+0530] [ALPM] installed mingw-w64-ucrt-x86_64-libtre-git (r128.6fb7206-2)
[2023-03-17T22:32:53+0530] [ALPM] installed mingw-w64-ucrt-x86_64-libsystre (1.0.1-4)
[2023-03-17T22:33:22+0530] [ALPM] installed mingw-w64-ucrt-x86_64-ncurses (6.4-1)
[2023-03-17T22:33:22+0530] [ALPM] installed mingw-w64-ucrt-x86_64-bzip2 (1.0.8-2)
[2023-03-17T22:33:22+0530] [ALPM] installed mingw-w64-ucrt-x86_64-libffi (3.4.4-1)
[2023-03-17T22:33:22+0530] [ALPM] installed mingw-w64-ucrt-x86_64-mpdecimal (2.5.1-1)
[2023-03-17T22:33:49+0530] [ALPM] installed mingw-w64-ucrt-x86_64-openssl (3.0.7-3)
[2023-03-17T22:33:49+0530] [ALPM] installed mingw-w64-ucrt-x86_64-termcap (1.3.1-6)
[2023-03-17T22:33:49+0530] [ALPM] installed mingw-w64-ucrt-x86_64-readline (8.2.001-6)
[2023-03-17T22:33:58+0530] [ALPM] installed mingw-w64-ucrt-x86_64-tcl (8.6.12-1)
[2023-03-17T22:33:59+0530] [ALPM] installed mingw-w64-ucrt-x86_64-sqlite3 (3.40.1-1)
[2023-03-17T22:34:02+0530] [ALPM] installed mingw-w64-ucrt-x86_64-tk (8.6.12-1)
[2023-03-17T22:34:03+0530] [ALPM] installed mingw-w64-ucrt-x86_64-xz (5.2.9-1)
[2023-03-17T22:34:11+0530] [ALPM] installed mingw-w64-ucrt-x86_64-tzdata (2022g-1)
[2023-03-17T22:34:53+0530] [ALPM] installed mingw-w64-ucrt-x86_64-python (3.10.9-2)
[2023-03-17T22:34:53+0530] [ALPM] installed mingw-w64-ucrt-x86_64-xxhash (0.8.1-2)
[2023-03-17T22:34:54+0530] [ALPM] installed mingw-w64-ucrt-x86_64-gdb (12.1-5)
[2023-03-17T22:34:59+0530] [ALPM] installed mingw-w64-ucrt-x86_64-python-pygments (2.14.0-1)
[2023-03-17T22:34:59+0530] [ALPM] transaction completed
